date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:30	46435/46435	---M--	200	added ('OK')	image/png	etag:%22dd0e3f9da7e021da38671e1861bd1ff7%22	https://preview.colorlib.com/theme/namaste/img/testimonial-img-2.png	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/testimonial-img-2.png	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:30	1666/1666	---M--	200	added ('OK')	image/png	etag:%22bb828a8461c66e34eb0b99f0b7cfb731%22	https://preview.colorlib.com/theme/namaste/img/quota.png	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/quota.png	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:30	12123/12123	---M--	200	added ('OK')	image/jpeg	etag:%22f31c8cefb67586d41a558c3bb3d838df%22	https://preview.colorlib.com/theme/namaste/img/gallery/1.jpg	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/gallery/1.jpg	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:31	14998/14998	---M--	200	added ('OK')	image/jpeg	etag:%2235b2722990ba650ed9e90b4059c586e4%22	https://preview.colorlib.com/theme/namaste/img/gallery/2.jpg	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/gallery/2.jpg	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:31	14462/14462	---M--	200	added ('OK')	image/jpeg	etag:%2203e699b7d9880df1111a183ba1dc9e8e%22	https://preview.colorlib.com/theme/namaste/img/gallery/3.jpg	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/gallery/3.jpg	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:31	11912/11912	---M--	200	added ('OK')	image/jpeg	etag:%22ec4224e40f6f3d59919a3fb3194c042d%22	https://preview.colorlib.com/theme/namaste/img/gallery/4.jpg	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/gallery/4.jpg	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:31	13086/13086	---M--	200	added ('OK')	image/jpeg	etag:%226de721c842103e33435f600903d2b96c%22	https://preview.colorlib.com/theme/namaste/img/gallery/5.jpg	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/gallery/5.jpg	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:32	2335/2335	---M--	200	added ('OK')	image/png	etag:%2260c783ef35a5d207c80897f11dd10920%22	https://preview.colorlib.com/theme/namaste/img/footer-icon.png	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/footer-icon.png	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:32	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c9f5aeeca3ad37bf2aa006139b935f0a%22	https://preview.colorlib.com/theme/namaste/js/jquery-3.2.1.min.js	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/js/jquery-3.2.1.min.js	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:32	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1d98d47689e00f8ecbc5d9f61bdb42e%22	https://preview.colorlib.com/theme/namaste/js/bootstrap.min.js	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:32	8415/8415	---MCZ	200	added ('OK')	application/javascript	etag:W/%22abb6ece52a5d3b908359c3dfa21d08a2%22	https://preview.colorlib.com/theme/namaste/js/jquery.slicknav.min.js	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/js/jquery.slicknav.min.js	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:33	44342/44342	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f416f9031fef25ae25ba9756e3eb6978%22	https://preview.colorlib.com/theme/namaste/js/owl.carousel.min.js	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/js/owl.carousel.min.js	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:33	4445/4445	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c96bb8beaa6eb6a1a13771fadf8169e9%22	https://preview.colorlib.com/theme/namaste/js/circle-progress.min.js	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/js/circle-progress.min.js	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:33	2257/2257	---MCZ	200	added ('OK')	application/javascript	etag:W/%2281e3d1b66d86007b2250819050207ea1%22	https://preview.colorlib.com/theme/namaste/js/main.js	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/js/main.js	(from https://preview.colorlib.com/theme/namaste/index.html)
16:54:33	531580/531580	---M--	200	added ('OK')	image/png	etag:%22174593e167d0077a3a424d779e5b3f5f%22	https://preview.colorlib.com/theme/namaste/img/page-top-bg/1.png	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/page-top-bg/1.png	(from https://preview.colorlib.com/theme/namaste/about.html)
16:54:34	45044/45044	---M--	200	added ('OK')	image/png	etag:%22e110b7d8f5a6c0288152d2036fd39dea%22	https://preview.colorlib.com/theme/namaste/img/page-top-bg/page-info-img.png	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/page-top-bg/page-info-img.png	(from https://preview.colorlib.com/theme/namaste/about.html)
16:54:34	16062/16062	---M--	200	added ('OK')	image/jpeg	etag:%2217ff47e56f0e6da21ef6fbee2d609914%22	https://preview.colorlib.com/theme/namaste/img/about-img.jpg	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/about-img.jpg	(from https://preview.colorlib.com/theme/namaste/about.html)
16:54:34	36451/36451	---M--	200	added ('OK')	image/jpeg	etag:%22304bd91ef4e2931fb71f9a257b453f73%22	https://preview.colorlib.com/theme/namaste/img/appointment-bg.jpg	D:/temp/Miranda/Miranda/preview.colorlib.com/theme/namaste/img/appointment-bg.jpg	(from https://preview.colorlib.com/theme/namaste/about.html)
